Step_1;Step_2;Step_3;Step_4;Step_5;Exporter;Product;Allocated_Volume
PRODUCTION-BR-4301602;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;23550.10387655705
PRODUCTION-BR-4305108;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;1391.0816725684067
PRODUCTION-BR-4306700;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;849.8983561475848
PRODUCTION-BR-4308078;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;1780.5845408875607
PRODUCTION-BR-4309308;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;1713.8126206042768
PRODUCTION-BR-4312906;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;6889.429451850891
PRODUCTION-BR-4313805;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;1265.88432203725
PRODUCTION-BR-4321105;HUB-BR-4315602;PORT-BR-4315602;;;BIANCHINI SA INDUSTRIA COMERCIO & AGRICULTURA;SOYBEAN;37559.20515934698
PRODUCTION-BR-4301602;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;1843.9162364834503
PRODUCTION-BR-4305108;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;108.9183341087853
PRODUCTION-BR-4306700;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;66.54498793192737
PRODUCTION-BR-4308078;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;139.41546765924508
PRODUCTION-BR-4309308;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;134.1873876220237
PRODUCTION-BR-4312906;HUB-BR-4315602;PORT-BR-4315602;;;GAVILON;SOYBEAN;539.4256812183696
